clade_name	CK25_FDSW210418094-1r_HMTM7DSX2_L3_2.fq.gz	CK25_FDSW210418094-1r_HMTM7DSX2_L3_1.fq.gz	CK25_FDSW210418094-1r_HMLYTDSX2_L2_2.fq.gz	CK25_FDSW210418094-1r_HMLYTDSX2_L2_1.fq.gz
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruthenibacterium|s__Ruthenibacterium_lactatiformans	0.04617	0.05198	0.05298	0.05515
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.1792	0.16122	0.18308	0.17236
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.1792	0.16122	0.18308	0.17236
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.1792	0.16122	0.18308	0.17236
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemanella	0.1792	0.16122	0.18308	0.17236
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemanella|s__Holdemanella_biformis	0.1792	0.16122	0.18308	0.17236
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	0.22518	0.25528	0.33015	0.34061
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	0.22518	0.25528	0.33015	0.34061
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified	0.22518	0.25528	0.33015	0.34061
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified	0.22518	0.25528	0.33015	0.34061
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_83	0.18905	0.19883	0.24809	0.27228
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_95	0.03613	0.05645	0.08206	0.06832
k__Bacteria|p__Firmicutes|c__Negativicutes	0.99115	1.0423	1.03443	1.06449
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	0.92635	1.01669	0.97558	1.00199
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae	0.92635	1.01669	0.97558	1.00199
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Acidaminococcus	0.10705	0.11325	0.11685	0.12359
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Acidaminococcus|s__Acidaminococcus_intestini	0.10705	0.11325	0.11685	0.12359
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium	0.8193	0.90344	0.85873	0.8784
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium_succinatutens	0.8193	0.90344	0.85873	0.8784
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	0.06479	0.02561	0.05885	0.06251
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	0.06479	0.02561	0.05885	0.06251
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella	0.06479	0.02561	0.05885	0.06251
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_denticariosi	0.02621	0.02561	0.04747	0.04857
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_rodentium	0.03858	0	0.01138	0.01393
k__Bacteria|p__Lentisphaerae	1.37611	1.43268	1.38483	1.40539
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	1.37611	1.43268	1.38483	1.40539
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Victivallales	1.37611	1.43268	1.38483	1.40539
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Victivallales|f__Victivallaceae	1.37611	1.43268	1.38483	1.40539
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Victivallales|f__Victivallaceae|g__Victivallis	1.37611	1.43268	1.38483	1.40539
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Victivallales|f__Victivallaceae|g__Victivallis|s__Victivallis_vadensis	1.37611	1.43268	1.38483	1.40539
k__Bacteria|p__Proteobacteria	66.71837	66.03115	64.31056	64.15535
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.93619	0.89934	1.00336	0.95694
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.93619	0.89934	1.00336	0.95694
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	0.93619	0.89934	1.00336	0.95694
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila	0.10866	0.10126	0.16571	0.172
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__Bilophila_wadsworthia	0.10866	0.10126	0.16571	0.172
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio	0.68264	0.6518	0.66511	0.6063
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrionaceae_unclassified	0.14489	0.14628	0.17253	0.17864
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrionaceae_unclassified|s__Desulfovibrionaceae_bacterium	0.14489	0.14628	0.17253	0.17864
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_piger	0.68264	0.6518	0.66511	0.6063
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	65.78218	65.13181	63.3072	63.19841
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	65.78218	65.13181	63.3072	63.19841
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	65.78218	65.13181	63.3072	63.19841
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia	0.21758	0.26975	0.04752	0.0419
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli	0.21758	0.26975	0.04752	0.0419
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella	65.5646	64.86206	63.25969	63.15651
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_pneumoniae	45.69581	46.07328	43.55977	43.8843
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_quasipneumoniae	4.73219	4.19772	4.33052	4.06935
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_variicola	15.1366	14.59106	15.3694	15.20286
k__Bacteria|p__Verrucomicrobia	0.15659	0.18709	0.23222	0.2169
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.15659	0.18709	0.23222	0.2169
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0.15659	0.18709	0.23222	0.2169
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae	0.15659	0.18709	0.23222	0.2169
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia	0.15659	0.18709	0.23222	0.2169
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia_muciniphila	0.15659	0.18709	0.23222	0.2169
k__Eukaryota	0.3614	0.41537	0.35882	0.35481
k__Eukaryota|p__Eukaryota_unclassified	0.3614	0.41537	0.35882	0.35481
k__Eukaryota|p__Eukaryota_unclassified|c__Eukaryota_unclassified	0.3614	0.41537	0.35882	0.35481
k__Eukaryota|p__Eukaryota_unclassified|c__Eukaryota_unclassified|o__Eukaryota_unclassified	0.3614	0.41537	0.35882	0.35481
k__Eukaryota|p__Eukaryota_unclassified|c__Eukaryota_unclassified|o__Eukaryota_unclassified|f__Eukaryota_unclassified	0.3614	0.41537	0.35882	0.35481
k__Eukaryota|p__Eukaryota_unclassified|c__Eukaryota_unclassified|o__Eukaryota_unclassified|f__Eukaryota_unclassified|g__Blastocystis	0.3614	0.41537	0.35882	0.35481
k__Eukaryota|p__Eukaryota_unclassified|c__Eukaryota_unclassified|o__Eukaryota_unclassified|f__Eukaryota_unclassified|g__Blastocystis|s__Blastocystis_sp_subtype_1	0.3614	0.41537	0.35882	0.35481
